genes	entrezID	logFC	AveExpr	t	P.Value	adj.P.Val	B
Gdf15	23886	2.01393058050027	-0.545925889648165	7.82751796239269	9.6346654361194e-07	2.4533459442113e-06	5.86725517905041
Sbk3	381835	3.57071389018211	-3.21145046011307	7.82382708675356	9.69141489645372e-07	2.4665064641506e-06	5.94185536592163
Tro	56191	2.00979857561256	-0.802093001882763	7.82264287442267	9.70969718570496e-07	2.47072886924053e-06	5.8698873079619
Ywhag	22628	0.230976013421103	8.93799224052932	7.81820097909957	9.77859613256937e-07	2.48652811825049e-06	4.11635795982294
Nle1	217011	0.58195341548987	5.22103578162813	8.39068241933798	9.85461076676816e-07	2.50498511763689e-06	4.51114536826707
Rab11fip4	268451	2.01197197259521	-0.482739143323031	7.8121888851968	9.87266954385378e-07	2.50870235486305e-06	5.81993250800665
Mapre3	100732	0.461805952020482	3.9935871351469	7.80906334950596	9.92195099204504e-07	2.52078650530196e-06	4.60256266784395
Rpl27	19942	0.376360884046524	7.26002773553413	7.80726312376457	9.95045299576002e-07	2.52758811227949e-06	4.16748080196481
Platr16	102634244	0.918282759018389	1.65783762770548	7.80702708786053	9.95419639629896e-07	2.52809933167002e-06	5.24974596600606
Hsf1	15499	0.340378455942396	6.90646085274045	7.80641416717036	9.96392389213628e-07	2.53012990904977e-06	4.18716014375581
Gm16062	100504104	1.18713441054557	0.428456391478757	7.80458516248871	9.99301091290588e-07	2.53619317800006e-06	5.56902241239707
Rflna	73121	3.5799446827395	-3.68679085275869	7.8027993116414	1.00214977044323e-06	2.54253943843908e-06	5.91276690616599
Ube2b	22210	0.277908034604263	6.5556446020131	7.80113348594934	1.00481468127146e-06	2.54885780386434e-06	4.20397686169002
2310058D17Rik	75694	1.64292469692283	0.334227575867111	7.79444716129354	1.01558627015836e-06	2.57573416598941e-06	5.61076996627146
Tuba1a	22142	0.296883144566003	8.53157382814935	7.79399177499761	1.0163242890866e-06	2.57715843166648e-06	4.09032311879075
Fam210b	67017	0.739975552307077	2.23579889930162	7.78713305039434	1.02750821892323e-06	2.60506596868472e-06	5.05937315398728
Veph1	72789	2.75370573848055	-1.66925508357733	7.78638948916826	1.028728421687e-06	2.60770692939263e-06	5.89687478228987
Phactr2	215789	3.68340896304594	-3.48317461443016	7.77938333595243	1.04030069371275e-06	2.63566902556261e-06	5.87637591719685
Taf6l	225895	0.330977056316928	5.88658664027289	7.77874000832177	1.0413701279981e-06	2.63792093124179e-06	4.22481025636091
Slc35c1	228368	0.531025194504585	4.78142023819902	7.84709560822021	1.04215156563121e-06	2.63944265087732e-06	4.41159254013654
Mief1	239555	0.295843516428289	5.81311038847686	7.77652268815692	1.04506494072987e-06	2.64636243486485e-06	4.23005809603857
Kansl2	69612	0.339054412046236	6.43249474457259	7.77619277588057	1.04561586268204e-06	2.64729854226624e-06	4.17099274830059
Tmem56	99887	2.53172301794736	-1.75197281329221	7.77484554353267	1.04786877944003e-06	2.65254270233987e-06	5.88665739731796
Akirin1	68050	0.318235185046142	5.64960003542806	7.7689725740419	1.05774959417847e-06	2.67709072475668e-06	4.23691648066377
Mitd1	69028	0.397401326212241	4.01240706018597	7.76396861105199	1.0662455628052e-06	2.69625739098559e-06	4.51893207931323
Slc7a6os	66432	0.292190588016276	5.93384077079997	7.76323845216028	1.06749123983115e-06	2.69894011579951e-06	4.19560897966713
Golga3	269682	0.318706574269674	6.75455080234978	7.75907186852679	1.07462888111264e-06	2.71651599818816e-06	4.12083036042514
Ankrd16	320816	0.454524278147186	4.5126042184511	7.75802088973385	1.07643718200561e-06	2.72014567061593e-06	4.41901655639703
Clca3a1	12722	3.88746649908376	-3.36695683481248	7.75434525451802	1.08278660225022e-06	2.73477107253446e-06	5.84706330350371
Trmt10b	69934	0.482440930997554	3.66182933125087	7.75298367901116	1.08514860656605e-06	2.73978920440861e-06	4.59991116418035
Gm38534	102641105	4.10267933808995	-3.79236406304611	7.75121099836143	1.08823188889383e-06	2.74709902682048e-06	5.82726572802143
Ccdc73	211936	0.775628581169193	1.46731555743281	7.74854790390558	1.09288119911519e-06	2.75788230723505e-06	5.19880514381408
Grhl1	195733	1.16907274108552	0.785974095958278	7.74682846769116	1.09589411906896e-06	2.76453013870834e-06	5.41003275547708
Maats1	320214	2.32961289146657	-1.66313738536326	7.74388839779371	1.10106614477882e-06	2.77709758429277e-06	5.83575481555968
Thg1l	66628	0.422323616130988	4.38301613687798	7.74211013665093	1.10420680708533e-06	2.7840574183132e-06	4.39349248294439
Poll	56626	0.500553371776659	4.68499953421459	7.73440407397174	1.11792590483931e-06	2.816216931025e-06	4.33246155013418
Mafk	17135	0.345704438483319	5.43008091273274	7.72945431276499	1.12683226167661e-06	2.83718531529884e-06	4.20444680203214
Mtbp	105837	0.273347576534997	6.73644834441692	7.72753684191965	1.130302456526e-06	2.84445170227754e-06	4.06854361720196
Tmbim4	68212	0.374951282506903	4.86404632445445	7.72552446499944	1.13395647987978e-06	2.85315561500846e-06	4.28389684874841
R3hcc1l	52013	0.385009034923569	5.02721400895113	7.72512634752225	1.13468083992471e-06	2.85448645331388e-06	4.25169160863767
Igsf3	78908	0.485775921458716	4.09704779611644	7.71885260766484	1.14616005043905e-06	2.88187531360179e-06	4.43313662324273
Vwce	71768	1.95121938365885	-0.897888465543677	7.71650690894049	1.15048329022658e-06	2.89224766558511e-06	5.71109136851895
Aff1	17355	0.85312263256125	6.85233872359219	10.5209342760165	1.16402776809217e-06	2.9247874730353e-06	4.63957897720783
Gm12185	620913	3.78519429733159	-3.32861971676883	7.69873322378837	1.18380259523285e-06	2.97140757964787e-06	5.74360282093465
Zfp558	72230	1.53662119611442	0.35690602951378	7.69780534591615	1.18556962177553e-06	2.97533159719131e-06	5.47501058152898
C79130	97236	1.60129163882765	-0.262605666620896	7.69459274823732	1.19170902992109e-06	2.98971179852756e-06	5.56253714926029
Mdc1	240087	0.320595287149041	7.27236780554135	7.68991305856675	1.20071189768243e-06	3.01178052164686e-06	3.97248254140541
Sp7	170574	3.40346988921077	-2.85946393059242	7.68725156229681	1.20586395489339e-06	3.02333643777863e-06	5.75442676266434
Map7d1	245877	0.331338731273423	7.8915107779288	7.68721242250107	1.20593989363948e-06	3.02333643777863e-06	3.93497902434348
Clcn1	12723	1.51354041799734	0.267915248698756	7.68413575610946	1.21192495497929e-06	3.03781978589798e-06	5.46583426272306
Sncaip	67847	3.82577791581696	-3.47993553776125	7.6822733759048	1.21556299985752e-06	3.0464161249003e-06	5.72877692345895
Arsa	11883	0.376315012478797	4.91278129232348	7.6803285408517	1.21937435449621e-06	3.05544378482959e-06	4.19294563292142
Stum	381310	3.62813321709408	-4.40335919803845	7.67714218887897	1.22564588631555e-06	3.07063187230273e-06	5.68157086858799
Gm10143	100038753	1.52898407954267	0.6527437943508	7.67571002231608	1.22847576691446e-06	3.07719380064356e-06	5.35423210650178
Ppp1r3b	244416	6.59976621890124	-0.974080266748347	9.8118082959223	1.23651459459901e-06	3.09679906870939e-06	5.95056723638616
Las1l	76130	0.267853580963038	6.55734927711667	7.65991033896511	1.26015419443878e-06	3.15006198253856e-06	3.96426191614487
Rhpn2	52428	0.315355857280512	5.72519931830392	7.65901230247974	1.26198032091612e-06	3.15354740244668e-06	4.04208468137719
