genes	logFC	AveExpr	t	P.Value	adj.P.Val
Gm20305	-1.03806372249689	-1.9723699080674	-1.08472024303578	0.149527912163707	0.440758292292796
Gm37292	-1.0459883819959	-2.43625085563957	-1.08471689233349	0.149615548909072	0.440933609037878
Gm10382	0.883540070372393	-1.09442204477461	1.07980912602731	0.149747554663623	0.441239595582049
Arl4a	-0.720253978293519	1.505212594429	-1.07596519247354	0.150509892773297	0.443402427289612
Tfdp2	0.630645545099168	6.4906245430582	1.07456948973878	0.150810970540259	0.44420582707287
Abca8b	0.779761120308021	0.652340494962298	1.07313259341677	0.151123326798087	0.445042138612836
Nutm1	0.842762113787059	-0.597889984507245	1.0726223802318	0.151253843055982	0.445342736850427
Ebpl	0.667594144184184	2.59003608080915	1.07231219665504	0.151298929619281	0.445391735284585
Tprgl	0.626161142226307	5.65112066376822	1.07208373110784	0.151348382031514	0.445453565009295
Ccdc159	-0.736658824831216	0.97289214688729	-1.07193209354491	0.151381372073948	0.445466928008622
Ankrd66	-0.854557101181269	-1.12022966739735	-1.07001951369349	0.151828023921739	0.446697331560802
Serp2	-0.695963673407823	2.30514710026496	-1.06536021027722	0.152809101275466	0.449432105733146
Gm26631	0.858218702153871	-1.01462852343902	1.06550486156141	0.152814952798778	0.449432105733146
Pp2d1	0.951374760734874	-2.45361946177207	1.06599112870056	0.152968447671434	0.44979905232663
Gm2093	-0.907902904697008	-1.91005166364052	-1.06470318049884	0.153081840222837	0.450047963614192
Xcr1	-0.921422177770239	-1.48828440823692	-1.06462745481188	0.153140574349828	0.450136120362231
Sypl	-0.639616032209348	6.82244907188786	-1.06354708217376	0.153204785201791	0.450240339093402
AC166827.1	-0.747487403315413	1.2557721886227	-1.06147657438461	0.1536579339568	0.451478228556812
Fnip2	-0.676687679253305	4.86454850751895	-1.06135734933816	0.153683673407064	0.451478228556812
Mpp1	-0.629463730047688	6.22964069820408	-1.06020133560283	0.153936934624352	0.452137408056294
Gm45527	0.954052239284701	-1.94880220448181	1.05631169640406	0.155126528531292	0.455545983447669
Gm16793	-0.808963087989595	-0.302800414423256	-1.05356336070594	0.15540525682701	0.456278925819862
Chp1	0.623638281969468	7.44117757330459	1.05270148090788	0.155587501602274	0.456728365220922
Gnao1	0.912607353079814	-1.64333772842435	1.04673464929821	0.157076118463987	0.460983344209066
Gm17334	0.936476626750527	-1.59201993767623	1.0470874351721	0.15709586950438	0.460983344209066
Eif5al3-ps	-0.655554786738048	3.05717757207884	-1.04351621003732	0.157626686516906	0.462313817868172
6330562C20Rik	0.841520291291639	-0.57128345274615	1.04359883602772	0.157636023470825	0.462313817868172
Cyp39a1	-0.661447331255352	3.35339035190914	-1.04346616110025	0.157637851168615	0.462313817868172
Gm15638	1.07663043530656	-2.75286859274748	1.05050953219953	0.157785547557108	0.462653231453135
Gm15696	0.950816171241338	-1.24071198555754	1.04424561517387	0.157812677812696	0.462653231453135
4932438A13Rik	-0.731963154619401	6.15823783439795	-1.04074989757289	0.158244810489601	0.463833253958476
Rexo5	-0.652878037274233	3.0969052552369	-1.04045449850312	0.15831073993714	0.463887315076961
Gm44220	1.08531922217876	-2.84978039368403	1.04885679302029	0.15832250681896	0.463887315076961
Gm16364	0.903679192528287	-2.09138630004443	1.04040613326627	0.158466488414931	0.464222315360336
Nanp	0.994360542893761	-2.25743940227722	1.04163320883179	0.158742683826588	0.464939112551236
Pus7l	0.636926341750407	4.46897707717709	1.03840185529092	0.158770560404359	0.464939112551236
Rnf213	0.709518627647854	7.39930381193522	1.03755859690562	0.158959773841728	0.465406159090087
Gm12359	0.788734880387062	-0.329329723706853	1.03620921772094	0.15926697493423	0.466218413445535
Ppp1r18os	-1.02113797386453	-1.88848309118619	-1.04025802561249	0.159351520077865	0.46637871053817
Pih1d2	-0.714484457353231	1.35229705203717	-1.03313727727504	0.159954407420025	0.46805571134045
Ripk2	0.636841866770696	4.71852415909366	1.03285796303077	0.160017347020927	0.468152395301508
Ager	0.747009102145431	1.17091213780252	1.02804398939065	0.161106268991771	0.471250132612208
Sowahb	1.07575896213481	-2.63828102662746	1.03570377609684	0.161248382380743	0.47157773091477
Gm9077	0.952753517195754	-1.58452562941856	1.02535504045781	0.16213399348813	0.474079191416833
Gm5822	-0.827150943437389	-0.40116588241881	-1.02340289903568	0.162181250546763	0.474128831415463
Prkcz	-1.06710683045528	-2.57666270136839	-1.03045510814325	0.162338647212305	0.474456484628901
Gm44956	0.844634185168073	-1.23620456845346	1.02271567347794	0.162353930555732	0.474456484628901
Mknk1	0.625931012249788	5.00520327358209	1.02154250517506	0.162584247633481	0.475040893719919
Gab3	0.890828491043542	-2.0155360045651	1.01905001187	0.163284273625414	0.476997230676628
Nacad	0.822992130128951	-0.0586497934447591	1.01599276719933	0.163873706397282	0.478629825549083
Lama5	0.647140559219114	8.99972291771184	1.01544062011264	0.163980798356172	0.478853289940498
Peli1	0.629416545269734	5.19713072997984	1.01449896041282	0.164197089111069	0.479395491572091
Cyp3a13	-1.06348047244946	-2.23148389406825	-1.0222172281352	0.164241905287986	0.479436941275034
Emd	-0.621139154109932	6.69027785167433	-1.01325070860916	0.164484119325041	0.480054490287324
Rdm1	-0.658150793325412	2.86170224658146	-1.01207775096307	0.16475416649276	0.480753026266052
Kif7	0.640220631973051	4.06251723170859	1.00943243064327	0.165364367391744	0.482443686346176
Gm44950	-0.64997388971767	2.94657720531443	-1.00816106124872	0.165658216269639	0.483210944551044
Ube3a	-0.686932660360909	6.59921818260086	-1.0078589115431	0.165728111286831	0.483324784229689
Gm16244	0.89923102255786	-1.88255221853206	1.00813955969821	0.165836540538023	0.483550940734518
Zkscan14	0.707515505829894	1.35711325800803	1.00609893167974	0.166135667680035	0.484332951877488
Gm19589	-0.863791217711385	-1.14454046687426	-1.00508130977891	0.16644725433085	0.485150988144536
Ly6g5b	0.823036467983222	-0.463061417927418	1.00425714322417	0.166584945807528	0.485461954486184
Gm15429	-0.775475591696596	0.370638409335069	-1.00303950249149	0.166848942248925	0.486140814613634
Mcts2	-0.640536245911939	3.85819682515723	-1.0026714247841	0.166931347028358	0.486290424515353
Chadl	0.785500148807809	-0.209261705379604	1.00065367142767	0.167406267790185	0.48758321076241
Des	-0.743259247170887	-0.0471224595907582	-0.997184045518396	0.168211543896404	0.489837521727709
Gm45453	0.744842808597301	-0.00604977320938685	0.995789564702624	0.168537917858001	0.490696674938747
1700109H08Rik	0.752198488986059	1.08168769689434	0.990804957972085	0.16970842539184	0.494012739316866
4930473A02Rik	0.860829991028971	-0.906506613084426	0.99008363515604	0.169957435574809	0.494645636845793
9230114K14Rik	0.737087364716975	0.950692208391822	0.989516279039278	0.170011239166726	0.494710273717263
Gm14966	0.873594634973803	-1.56449894946415	0.98875935936771	0.170302375226903	0.49546536441896
Ccdc38	0.771905770674051	0.037929407034398	0.987106018438186	0.170582584074932	0.496188389642447
Tdrd7	-0.625981702996646	5.09762058698544	-0.986762667286822	0.170660524559766	0.496322899991978
Zfpm2	0.620371569042223	6.07578184861982	0.982697977478817	0.171622806603915	0.498944864975792
Carmil3	0.960764591041138	-1.97725950079073	0.985432095597975	0.171625817011088	0.498944864975792
Wdyhv1	0.651415563555674	3.73543312483889	0.982100188798058	0.171764653822441	0.499255791637605
Utp14b	0.669499383360712	3.73670192723173	0.981423500293858	0.171925324304377	0.499630053444308
Gm36584	1.21884255706168	-2.80928905234642	1.0074555711468	0.172290435583615	0.500598188971654
Zfp768	-0.647600484365348	4.56304171623291	-0.978893798072406	0.172526912350109	0.501192280812248
Tmem130	0.942983688623832	-1.40624184568013	0.980104025154163	0.172747634937257	0.501740394703687
Pcbd2	-0.666460150917491	2.25486432604182	-0.976494820133281	0.17309879597025	0.502667089633193
Snhg6	0.642810652481355	4.77957685350455	0.975484521567848	0.173340039340559	0.503274306692838
Ficd	0.646698204632023	2.85883623115137	0.974773509905932	0.17350996115869	0.503674262481047
Plcxd1	0.770869038653539	0.764413505099199	0.972799308081872	0.173985907673463	0.504962250667485
Ecm2	-0.880774407747689	-1.96240058628259	-0.973159998191172	0.174051151764819	0.505057993760848
Prex1	0.889796695784155	-1.85887372352082	0.972962375624379	0.174134709612183	0.505206834001772
Hmgb2	-0.622361132456968	7.8297929974334	-0.971961630217576	0.174183119249272	0.505253664543368
Gm36985	1.5693763534283	-1.68737480642298	1.05234030511274	0.174656995280631	0.506534401204689
Chuk	0.624118080928783	6.9829831775238	0.967665177739731	0.175215252945679	0.508059339004341
Gm17055	-0.764810199485826	-0.401776838630868	-0.965741135288765	0.175681661035449	0.509317431678033
6030445D17Rik	0.857631995307565	-1.18020812551529	0.961603661221538	0.176774878977587	0.512391902079054
AC159296.1	-1.02884229791697	-2.34003911737615	-0.968451776333131	0.176839093101723	0.512483161167275
Acox2	-0.955157025910717	-2.3880901859384	-0.963662814120281	0.176888434417564	0.512531292766511
Trim7	-0.814249866147683	0.130218850100337	-0.958584389598169	0.177436582892281	0.514024424593403
Gna14	1.06444040984066	-2.33640769066555	0.967825090799044	0.177808548516053	0.514957861730801
Gm3636	0.892511823971801	-2.5701683205236	0.957838605325537	0.177824572638807	0.514957861730801
Lpin3	-0.776975691749516	-0.275927021001357	-0.956242170875031	0.177986082888625	0.515304623852124
Epn3	-0.651902169438258	3.53851497681816	-0.956120031009105	0.178010136059276	0.515304623852124
Gm42549	0.849367068779215	-0.265579507491254	0.956082760160901	0.178099811273918	0.515468917731424
Hhipl2	1.00147886591472	-2.46168298133808	0.960637779683479	0.178300621174546	0.515954745213645
Hjurp	0.623115936524978	7.99701292291679	0.953750877807173	0.1785875263598	0.516689484061669
Gm16174	1.06962259157185	-2.38205315762942	0.963447128868037	0.179078750071812	0.518014976653322
Gm10053	-0.949339106531705	-1.95634784821253	-0.953845887499581	0.179262375970082	0.51845036626146
Hook3	-0.671328386126261	6.515371291141	-0.947443956389107	0.180131005789162	0.520866350627276
Acsf3	0.644301237533787	3.72586252378119	0.942632632188028	0.181314733362722	0.524192410449316
Gtdc1	-0.661167557781165	2.68400931503111	-0.936890317644477	0.182734612633676	0.528199845785139
Prob1	-0.821181359650125	-0.349034228581713	-0.932627451808915	0.183836254208641	0.531286096049999
Gm17281	0.880776087046528	-1.82285483928798	0.931043757744579	0.184415651246822	0.532862201000689
Fut1	-0.927786700083154	-1.29862767227359	-0.932028979877138	0.184523808683351	0.533076346192602
Adam4	0.904834705053946	-1.25503076986178	0.930472559593665	0.184713457491722	0.533525791810622
Snord83b	0.776955815672653	0.298853131697226	0.928576791873527	0.18481166623698	0.533711005152829
Foxn1	0.787313669832922	0.510579600326408	0.926464300200569	0.185344902179704	0.535152218021356
Il7	-0.749489720914115	0.1021295451298	-0.926244460694568	0.185389301086819	0.535181725003211
Krtcap3	0.751515377778042	0.736095997127192	0.926002564058481	0.185450128214648	0.53525863734285
Tlr1	-0.780147130059956	-0.20570726713139	-0.925093746932691	0.185685024844665	0.535837839848463
Arhgap39	-0.631269491710294	4.3466597978258	-0.924783690514684	0.185753482797973	0.535936619430746
Wwox	-0.637669569829538	3.46792215234932	-0.923368778902269	0.186108541880582	0.536862112889859
Gm6225	-0.869444575143598	-2.27357236952637	-0.921644687771002	0.186731527663306	0.538560003711927
Gm26109	-0.914877443167947	-2.184367516952	-0.920400590422307	0.187362244878046	0.540279563591242
Pura	-0.637620226140886	5.12424745140606	-0.911793813853625	0.189030783782508	0.544990611759623
Omd	-0.839545182999115	-1.18165458181001	-0.911806925754928	0.189121128991408	0.545051848175709
Gm17484	-0.870819954640475	-0.840897918602874	-0.912253418219474	0.189128348788493	0.545051848175709
Gm11520	0.793687271698587	-1.0334320267633	0.911374854858074	0.189156453122161	0.545051848175709
Ap5z1	0.63787691884308	3.8669878194077	0.910974395232187	0.189238845437404	0.545188931344778
Btaf1	0.646509145931133	7.23470225879366	0.909351721804294	0.189651328545077	0.54627676643834
4933407K13Rik	0.67375262687275	2.61091646433329	0.906696421646976	0.190327638258604	0.548123994823104
Cfap69	0.659117095510284	2.37636323372385	0.904834258342768	0.190802914032537	0.549391693255141
Terc	-0.803843234706305	-1.45278154847278	-0.904327797980053	0.190963286908521	0.549752371100134
Rbm8a	-0.620527630465032	7.21177780533392	-0.90368968727494	0.191095444569995	0.550031704242093
Snhg1	0.626396845348188	7.2555264821968	0.903180005061402	0.191225808494865	0.550305772727917
Atp5s	0.664999312708183	2.23729602048186	0.899364438251838	0.192203667232292	0.553018195796258
Ift22	-0.63258004062679	4.32153296893509	-0.89830643910946	0.192475414630895	0.553698335897585
Gm37285	0.979182471022319	-2.29986413026326	0.904081831143315	0.192590017806722	0.553926248864373
Gm21168	-0.808135506839789	-1.43556950599143	-0.897162196212283	0.192808779123572	0.554453602115133
Mpp3	-0.732196007751081	0.851560784656234	-0.896257380443094	0.193003383597949	0.554911307450733
Zfp69	-0.680529327426783	1.99126989563384	-0.895024057619119	0.19332017473809	0.555720083724805
